Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1981492,-,-,-,28.37,36.58,3,769,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,cloud fill flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,12.3,0.53,0.127,0.68,0,0,0,0,0,-5.300000000000001,0,0,0,0,28.79,172.76,0.22,929,1.2000000000000002,153,1.7000000000000002
2014,1,1,1,30,12,0.52,0.113,0.68,0,0,0,0,0,-5.1000000000000005,0,0,0,0,29.830000000000002,169.89000000000001,0.22,929,1.1,165,1.8
2014,1,1,2,30,11.700000000000001,0.53,0.105,0.68,0,0,0,0,0,-5,0,0,0,0,30.64,157.3,0.22,929,1.1,181,1.9000000000000001
2014,1,1,3,30,4.1000000000000005,0.9500000000000001,0.046,0.67,0,0,0,0,0,2.2,0,0,0,0,87.48,144.16,0.22,930,0.9,68,1.4000000000000001
2014,1,1,4,30,3.7,0.92,0.048,0.67,0,0,0,0,0,2.3000000000000003,0,0,0,0,90.47,131.01,0.22,930,0.9,75,1.4000000000000001
2014,1,1,5,30,3.4000000000000004,0.89,0.051000000000000004,0.67,0,0,0,0,0,2.4000000000000004,0,0,0,0,92.89,118,0.22,931,0.9,82,1.4000000000000001
2014,1,1,6,30,3.2,0.86,0.054,0.67,0,0,0,0,0,2.4000000000000004,0,0,0,0,94.32000000000001,105.28,0.22,931,0.9,90,1.5
2014,1,1,7,30,4,0.85,0.057,0.67,0,0,0,0,0,2.4000000000000004,0,0,0,0,89.19,93,0.22,932,0.9,99,2
2014,1,1,8,30,7.4,0.85,0.059000000000000004,0.67,43,527,123,0,0,2.4000000000000004,43,527,0,123,70.64,81.29,0.22,932,0.9,106,3.4000000000000004
2014,1,1,9,30,10.9,0.86,0.059000000000000004,0.67,67,774,322,0,0,2.3000000000000003,67,774,0,322,55.54,70.74,0.22,932,0.9,110,3.7
2014,1,1,10,30,14.100000000000001,0.86,0.058,0.67,79,881,497,0,0,1.6,79,881,0,497,42.75,61.71,0.22,932,0.9,117,3.5
2014,1,1,11,30,15.9,0.87,0.055,0.67,85,936,622,0,0,0.7000000000000001,85,936,0,622,35.76,55.03,0.22,931,0.9,125,2.8000000000000003
2014,1,1,12,30,17,0.89,0.056,0.67,89,955,682,0,0,-0.1,89,955,0,682,31.470000000000002,51.620000000000005,0.22,931,0.9,133,2.1
2014,1,1,13,30,17.5,0.93,0.059000000000000004,0.67,90,949,672,0,8,-0.9,272,388,0,510,28.76,52.14,0.22,930,0.9,134,1.5
2014,1,1,14,30,17.3,0.9500000000000001,0.06,0.67,86,921,594,0,1,-1.5,86,921,0,594,27.73,56.480000000000004,0.22,929,0.9,117,1
2014,1,1,15,30,16.8,0.99,0.056,0.67,75,866,457,0,0,-1.9000000000000001,75,866,0,457,27.8,63.86,0.22,929,0.9,76,0.9
2014,1,1,16,30,15.600000000000001,1.01,0.055,0.67,60,737,271,0,0,-2,60,737,0,271,29.75,73.35000000000001,0.22,930,1,48,1.2000000000000002
2014,1,1,17,30,12.9,1.02,0.054,0.67,32,422,75,0,0,-1.8,32,422,0,75,36.09,84.18,0.22,930,1,46,1.1
2014,1,1,18,30,11.100000000000001,1.03,0.054,0.67,0,0,0,0,0,-1.6,0,0,0,0,41.19,96.13,0.22,931,1,55,1.5
2014,1,1,19,30,10,1.02,0.054,0.67,0,0,0,0,0,-1.3,0,0,0,0,45.32,108.55,0.22,931,1,67,1.9000000000000001
2014,1,1,20,30,9,1.01,0.053,0.67,0,0,0,0,0,-1,0,0,0,0,49.45,121.35000000000001,0.22,931,1,78,2
2014,1,1,21,30,8,0.99,0.053,0.67,0,0,0,0,0,-0.8,0,0,0,0,53.85,134.41,0.22,932,1,87,2
2014,1,1,22,30,7.1000000000000005,0.98,0.054,0.67,0,0,0,0,1,-0.6000000000000001,0,0,0,0,57.92,147.58,0.22,932,1,94,2
2014,1,1,23,30,6.4,0.96,0.054,0.67,0,0,0,0,0,-0.5,0,0,0,0,61.28,160.69,0.22,932,1,101,2.1
2014,1,2,0,30,5.9,0.9500000000000001,0.054,0.67,0,0,0,0,0,-0.4,0,0,0,0,64.08,172.59,0.22,932,1,108,2.1
2014,1,2,1,30,5.4,0.9400000000000001,0.053,0.67,0,0,0,0,0,-0.30000000000000004,0,0,0,0,66.86,169.95000000000002,0.22,931,1,113,2.3000000000000003
2014,1,2,2,30,5,0.92,0.053,0.67,0,0,0,0,0,-0.2,0,0,0,0,69.32000000000001,157.4,0.22,931,1,117,2.4000000000000004
2014,1,2,3,30,4.6000000000000005,0.91,0.053,0.67,0,0,0,0,0,0,0,0,0,0,71.97,144.24,0.22,931,0.9,120,2.4000000000000004
2014,1,2,4,30,4.2,0.9,0.053,0.67,0,0,0,0,0,0.1,0,0,0,0,74.62,131.08,0.22,931,0.9,123,2.5
2014,1,2,5,30,3.8000000000000003,0.89,0.054,0.67,0,0,0,0,0,0.2,0,0,0,0,77.09,118.07000000000001,0.22,932,0.9,124,2.6
2014,1,2,6,30,3.6,0.87,0.054,0.67,0,0,0,0,0,0.1,0,0,0,0,77.99,105.35000000000001,0.22,932,0.9,124,2.6
2014,1,2,7,30,4.3,0.86,0.054,0.67,0,0,0,0,0,0,0,0,0,0,73.82000000000001,93.05,0.22,932,0.9,122,3.2
2014,1,2,8,30,7.4,0.84,0.055,0.67,42,534,122,0,0,-0.1,42,534,0,122,59.11,81.32000000000001,0.22,933,0.9,119,4.3
2014,1,2,9,30,11.200000000000001,0.8200000000000001,0.054,0.67,65,781,322,0,0,-0.2,65,781,0,322,45.230000000000004,70.76,0.22,933,0.9,116,4.6000000000000005
2014,1,2,10,30,15,0.81,0.054,0.67,78,886,498,0,0,-0.5,78,886,0,498,34.64,61.7,0.22,932,0.9,117,4.800000000000001
2014,1,2,11,30,17.1,0.79,0.053,0.67,85,937,622,0,0,-0.8,85,937,0,622,29.64,54.99,0.22,932,0.9,116,4.4
2014,1,2,12,30,18.3,0.78,0.06,0.67,91,949,682,0,0,-1.2000000000000002,91,949,0,682,26.7,51.550000000000004,0.22,931,0.9,115,3.9000000000000004
2014,1,2,13,30,19,0.76,0.059000000000000004,0.67,90,947,673,0,0,-1.7000000000000002,90,947,0,673,24.68,52.04,0.22,930,0.9,114,3.3000000000000003
2014,1,2,14,30,19.200000000000003,0.75,0.058,0.67,85,922,596,0,0,-2.1,85,922,0,596,23.56,56.36,0.22,929,0.9,108,2.9000000000000004
2014,1,2,15,30,18.8,0.74,0.057,0.67,76,862,458,0,0,-2.5,76,862,0,458,23.54,63.730000000000004,0.22,929,0.9,99,2.7
2014,1,2,16,30,17,0.74,0.057,0.67,61,734,273,0,0,-2.6,61,734,0,273,26.150000000000002,73.22,0.22,929,0.9,88,2.4000000000000004
2014,1,2,17,30,13.4,0.75,0.057,0.67,33,413,76,0,0,-2.3000000000000003,33,413,0,76,33.64,84.04,0.22,930,0.9,81,1.8
2014,1,2,18,30,11.4,0.76,0.058,0.67,0,0,0,0,0,-2.1,0,0,0,0,39.04,95.99000000000001,0.22,931,0.9,82,2.4000000000000004
2014,1,2,19,30,10.5,0.77,0.058,0.67,0,0,0,0,0,-1.7000000000000002,0,0,0,0,42.6,108.41,0.22,931,0.9,86,2.8000000000000003
2014,1,2,20,30,9.5,0.78,0.056,0.67,0,0,0,0,0,-1.4000000000000001,0,0,0,0,46.63,121.22,0.22,932,0.9,90,3
2014,1,2,21,30,8.5,0.79,0.054,0.67,0,0,0,0,0,-1.2000000000000002,0,0,0,0,50.63,134.28,0.22,932,0.9,96,2.9000000000000004
2014,1,2,22,30,7.6000000000000005,0.79,0.054,0.67,0,0,0,0,0,-1,0,0,0,0,54.35,147.46,0.22,932,0.9,102,2.7
2014,1,2,23,30,6.9,0.8,0.055,0.67,0,0,0,0,0,-0.9,0,0,0,0,57.45,160.56,0.22,932,0.9,107,2.5
2014,1,3,0,30,6.300000000000001,0.81,0.055,0.67,0,0,0,0,0,-0.9,0,0,0,0,60.14,172.45000000000002,0.22,931,0.9,111,2.5
2014,1,3,1,30,5.9,0.8200000000000001,0.054,0.67,0,0,0,0,0,-0.8,0,0,0,0,62.160000000000004,169.99,0.22,931,0.9,112,2.6
2014,1,3,2,30,5.4,0.81,0.052000000000000005,0.67,0,0,0,0,0,-0.7000000000000001,0,0,0,0,64.78,157.47,0.22,931,0.9,113,2.5
2014,1,3,3,30,4.9,0.81,0.051000000000000004,0.67,0,0,0,0,0,-0.6000000000000001,0,0,0,0,67.37,144.32,0.22,931,0.9,114,2.3000000000000003
2014,1,3,4,30,4.5,0.81,0.051000000000000004,0.67,0,0,0,0,0,-0.6000000000000001,0,0,0,0,69.4,131.16,0.22,931,0.9,113,2.2
